season,date,team1,team2,name1,name2,neutral,playoff,score1,score2,result1,cc_final,elo1_pre,elo2_pre,prob1,elo1_post,elo2_post,champ
1997,"1997-06-21","CLE","HOU","Cleveland Rockers","Houston Comets",0,0,56,76,0,0,1500,1500,0.6131368201531431,1466.5604579583053,1533.4395420416947,""
1997,"1997-06-21","LAS","NYL","Los Angeles Sparks","New York Liberty",0,0,57,67,0,0,1500,1500,0.6131368201531431,1480.7940265324255,1519.2059734675745,""
1997,"1997-06-21","LVA","SAC","Utah Starzz","Sacramento Monarchs",0,0,61,73,0,0,1500,1500,0.6131368201531431,1477.7780932205897,1522.2219067794103,""
1997,"1997-06-22","PHO","CHA","Phoenix Mercury","Charlotte Sting",0,0,76,59,1,0,1500,1500,0.6131368201531431,1515.8318122205737,1484.1681877794263,""
1997,"1997-06-23","SAC","NYL","Sacramento Monarchs","New York Liberty",0,0,62,73,0,0,1522.2219067794103,1519.2059734675745,0.6172467001681021,1501.2881342794585,1540.1397459675263,""
1997,"1997-06-23","LVA","LAS","Utah Starzz","Los Angeles Sparks",0,0,102,89,1,0,1477.7780932205897,1480.7940265324255,0.6090107636784664,1490.7238053316962,1467.848314421319,""
1997,"1997-06-24","HOU","PHO","Houston Comets","Phoenix Mercury",0,0,72,55,1,0,1533.4395420416947,1515.8318122205737,0.636886327930502,1548.0653249410955,1501.206029321173,""
1997,"1997-06-25","LAS","CHA","Los Angeles Sparks","Charlotte Sting",0,0,74,54,1,0,1467.848314421319,1484.1681877794263,0.5906304604981418,1487.2145492151724,1464.8019529855728,""
1997,"1997-06-26","CLE","LVA","Cleveland Rockers","Utah Starzz",0,0,74,63,1,0,1466.5604579583053,1490.7238053316962,0.5796706702645575,1478.9759600719008,1478.3083032181007,""
1997,"1997-06-26","HOU","NYL","Houston Comets","New York Liberty",0,0,60,62,0,0,1548.0653249410955,1540.1397459675263,0.6239012401070329,1542.626613258356,1545.5784576502658,""
1997,"1997-06-26","SAC","CHA","Sacramento Monarchs","Charlotte Sting",0,0,78,70,1,0,1501.2881342794585,1464.8019529855728,0.6616259356330173,1508.6216407419129,1457.4684465231185,""
1997,"1997-06-27","LAS","SAC","Los Angeles Sparks","Sacramento Monarchs",0,0,102,92,1,0,1487.2145492151724,1508.6216407419129,0.5835315699087181,1498.5837858599493,1497.252404097136,""
1997,"1997-06-28","CLE","PHO","Cleveland Rockers","Phoenix Mercury",0,0,63,68,0,0,1478.9759600719008,1501.206029321173,0.5823798117364756,1468.7404339297086,1511.4415554633651,""
1997,"1997-06-28","LVA","HOU","Utah Starzz","Houston Comets",0,0,58,76,0,0,1478.3083032181007,1542.626613258356,0.5225524532970924,1453.7904017410424,1567.1445147354143,""
1997,"1997-06-29","CHA","CLE","Charlotte Sting","Cleveland Rockers",0,0,67,44,1,0,1457.4684465231185,1468.7404339297086,0.5976373278030681,1478.6563183083556,1447.5525621444715,""
1997,"1997-06-29","NYL","PHO","New York Liberty","Phoenix Mercury",0,0,65,57,1,0,1545.5784576502658,1511.4415554633651,0.6585917400658214,1552.9930505856194,1504.0269625280116,""
1997,"1997-06-30","HOU","LAS","Houston Comets","Los Angeles Sparks",0,0,71,66,1,0,1567.1445147354143,1498.5837858599493,0.7016535354964144,1571.4622140328313,1494.2660865625323,""
1997,"1997-07-02","NYL","HOU","New York Liberty","Houston Comets",0,0,72,67,1,0,1552.9930505856194,1571.4622140328313,0.5876356882232202,1559.4410494150197,1565.014215203431,""
1997,"1997-07-02","SAC","LVA","Sacramento Monarchs","Utah Starzz",0,0,68,73,0,0,1497.252404097136,1453.7904017410424,0.6705567911838335,1484.6035946840468,1466.4392111541315,""
1997,"1997-07-03","CLE","LAS","Cleveland Rockers","Los Angeles Sparks",0,0,62,74,0,0,1447.5525621444715,1494.2660865625323,0.547757060499847,1428.6400734622136,1513.1785752447902,""
1997,"1997-07-03","LVA","PHO","Utah Starzz","Phoenix Mercury",0,0,55,77,0,0,1466.4392111541315,1504.0269625280116,0.5607347490248492,1434.703616200133,1535.7625574820102,""
1997,"1997-07-04","HOU","NYL","Houston Comets","New York Liberty",0,0,58,65,0,0,1565.014215203431,1559.4410494150197,0.6207184376531242,1550.310246928933,1574.1450176895175,""
1997,"1997-07-05","CHA","LAS","Charlotte Sting","Los Angeles Sparks",0,0,78,66,1,0,1478.6563183083556,1513.1785752447902,0.5650764917536248,1492.5628963791607,1499.271997173985,""
1997,"1997-07-05","LVA","NYL","Utah Starzz","New York Liberty",0,0,53,66,0,0,1434.703616200133,1574.1450176895175,0.4152819173795943,1420.7301093352773,1588.1185245543732,""
1997,"1997-07-06","SAC","CLE","Sacramento Monarchs","Cleveland Rockers",0,0,70,67,1,0,1484.6035946840468,1428.6400734622136,0.6862550469768349,1487.653851483199,1425.5898166630614,""
1997,"1997-07-07","HOU","CHA","Houston Comets","Charlotte Sting",0,0,74,56,1,0,1550.310246928933,1492.5628963791607,0.688461718362788,1562.9903390687725,1479.8828042393213,""
1997,"1997-07-07","LAS","CLE","Los Angeles Sparks","Cleveland Rockers",0,0,70,81,0,0,1499.271997173985,1425.5898166630614,0.7077881441910484,1473.309469934269,1451.5523439027775,""
1997,"1997-07-07","PHO","NYL","Phoenix Mercury","New York Liberty",0,0,69,50,1,0,1535.7625574820102,1588.1185245543732,0.5396992215690793,1557.381658326721,1566.4994237096623,""
1997,"1997-07-07","LVA","SAC","Utah Starzz","Sacramento Monarchs",0,0,69,79,0,0,1420.7301093352773,1487.653851483199,0.5188093673974028,1405.5589765784998,1502.8249842399766,""
1997,"1997-07-09","CHA","NYL","Charlotte Sting","New York Liberty",0,0,87,69,1,0,1479.8828042393213,1566.4994237096623,0.4904790701404055,1503.5754213455227,1542.806806603461,""
1997,"1997-07-09","PHO","HOU","Phoenix Mercury","Houston Comets",0,0,69,64,1,0,1557.381658326721,1562.9903390687725,0.605451134369214,1563.4785846081154,1556.893412787378,""
1997,"1997-07-10","CLE","SAC","Cleveland Rockers","Sacramento Monarchs",0,0,77,61,1,0,1451.5523439027775,1502.8249842399766,0.5412480372880322,1470.3117076360722,1484.065620506682,""
1997,"1997-07-10","NYL","CHA","New York Liberty","Charlotte Sting",0,0,62,48,1,0,1542.806806603461,1503.5754213455227,0.6651547032788512,1554.1344996355638,1492.2477283134199,""
1997,"1997-07-11","LAS","LVA","Los Angeles Sparks","Utah Starzz",0,0,75,68,1,0,1473.309469934269,1405.5589765784998,0.7006762567354178,1478.9832999606142,1399.8851465521545,""
1997,"1997-07-12","CHA","CLE","Charlotte Sting","Cleveland Rockers",0,0,72,43,1,0,1492.2477283134199,1470.3117076360722,0.64262849180476,1514.2302248109506,1448.3292111385415,""
1997,"1997-07-12","HOU","SAC","Houston Comets","Sacramento Monarchs",0,0,89,61,1,0,1556.893412787378,1484.065620506682,0.7067698922409049,1573.6701505913784,1467.2888827026818,""
1997,"1997-07-12","LVA","PHO","Utah Starzz","Phoenix Mercury",0,0,52,51,1,0,1399.8851465521545,1563.4785846081154,0.38196821003927744,1402.9651637907805,1560.3985673694895,""
1997,"1997-07-13","LAS","PHO","Los Angeles Sparks","Phoenix Mercury",0,0,56,57,0,0,1478.9832999606142,1560.3985673694895,0.4979632777412663,1476.7081933476552,1562.6736739824485,""
1997,"1997-07-14","CLE","NYL","Cleveland Rockers","New York Liberty",0,0,57,68,0,0,1448.3292111385415,1554.1344996355638,0.4629313434612207,1434.2626906939852,1568.20102008012,""
1997,"1997-07-14","HOU","LVA","Houston Comets","Utah Starzz",0,0,79,56,1,0,1573.6701505913784,1402.9651637907805,0.8089456689809559,1582.2900302488674,1394.3452841332914,""
1997,"1997-07-15","NYL","CLE","New York Liberty","Cleveland Rockers",0,0,76,59,1,0,1568.20102008012,1434.2626906939852,0.7740859016337605,1576.4427010181864,1426.0210097559188,""
1997,"1997-07-15","SAC","LAS","Sacramento Monarchs","Los Angeles Sparks",0,0,78,73,1,0,1467.2888827026818,1476.7081933476552,0.6001991834076637,1473.4885539099987,1470.5085221403383,""
1997,"1997-07-16","CHA","LVA","Charlotte Sting","Utah Starzz",0,0,75,63,1,0,1514.2302248109506,1394.3452841332914,0.7596260088806841,1520.9432825446754,1387.6322263995667,""
